comm;no_comm;um;comtrade_code;comext_code;usitc_code;ds_code;imf_code;quandl_code;eurostat_code;source;critical
Tellurium;592;kg;;28045090;;SMINTLR;;;;comext;no
Anhydrite;288;kg;252010;;;;;;;comtrade;no
Argon;59;kg;280421;;;;;;;comtrade;no
Basalt;72;kg;2516;;;;;;;comtrade;no
Bromine;369;kg;280130;;;;;;;comtrade;no
Cadmium;101;kg;8107;;;CADEUMG;;;;comtrade;no
Calcite;16;kg;283650;;;;;;;comtrade;no
Carnallite;74;kg;3104;;;;;;;comtrade;no
Chromium;32;kg;811221;;;SOTHCRM;;;;comtrade;no
Chrysotile;241;kg;252490;;;;;;;comtrade;no
Cinnabar;386;kg;2852;;;;;;;comtrade;no
Clay, bentonite;35;kg;250810;;;;;;;comtrade;no
Clay, unspecified;22;kg;2508;;;;;;;comtrade;no
Coal, brown;13;kg;2702;;;;;;;comtrade;no
Coal, hard;10;kg;270111;;;;;;;comtrade;no
Cobalt, Co 5.0E-2%, in mixed ore, in ground;415;kg;260500;;;;;;;comtrade;yes
Colemanite;113;kg;2840;;;;;;;comtrade;no
Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore;67;kg;2603;;;;;;;comtrade;no
Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore;71;kg;2603;;;;;;;comtrade;no
Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore;82;kg;2603;;;;;;;comtrade;no
Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore;64;kg;2603;;;;;;;comtrade;no
Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore;139;kg;2603;;;;;;;comtrade;no
Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore;66;kg;2603;;;;;;;comtrade;no
Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore;119;kg;2603;;;;;;;comtrade;no
Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore;95;kg;2603;;;;;;;comtrade;no
Copper, Cu 0.2%, in mixed ore;265;kg;2603;;;;;;;comtrade;no
Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore;57;kg;2603;;;;;;;comtrade;no
Copper, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore;322;kg;2603;;;;;;;comtrade;no
Copper, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore;91;kg;2603;;;;;;;comtrade;no
Diatomite;609;kg;251200;;;;;;;comtrade;no
Dolomite;42;kg;2518;;;;;;;comtrade;no
Feldspar;197;kg;252910;;;;;;;comtrade;no
Fluorine;158;kg;280130;;;;;;;comtrade;no
Fluorine, 4.5% in apatite, 3% in crude ore;239;kg;280130;;;;;;;comtrade;no
Gold, Au 1.0E-7%, in mixed ore, in ground;792;kg;261690;;;;;;;comtrade;no
Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore;372;kg;261690;;;;;;;comtrade;no
Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore;361;kg;261690;;;;;;;comtrade;no
Gold, Au 1.8E-4%, in mixed ore;508;kg;261690;;;;;;;comtrade;no
Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore;418;kg;261690;;;;;;;comtrade;no
Gold, Au 4.3E-4%, in ore;378;kg;261690;;;;;;;comtrade;no
Gold, Au 4.9E-5%, in ore;331;kg;261690;;;;;;;comtrade;no
Gold, Au 5.4E-4%, Ag 1.5E-5%, in ore;497;kg;261690;;;;;;;comtrade;no
Gold, Au 6.7E-4%, in ore;325;kg;261690;;;;;;;comtrade;no
Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore;486;kg;261690;;;;;;;comtrade;no
Gold, Au 7.1E-4%, in ore;353;kg;261690;;;;;;;comtrade;no
Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore;410;kg;261690;;;;;;;comtrade;no
Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore;445;kg;261690;;;;;;;comtrade;no
Granite;472;kg;2516;;;;;;;comtrade;no
Gravel;11;kg;2517;;;;;;;comtrade;no
Gypsum;53;kg;2520;;;;;;;comtrade;no
Iodine;430;kg;280120;;;;;;;comtrade;no
Kaolinite;136;kg;2507;;;;;;;comtrade;no
Kieserite;173;kg;253020;;;;;;;comtrade;no
Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore;105;kg;2607;;;LEDOIAN;;;;comtrade;no
Lead, Pb 3.6E-1%, in mixed ore;246;kg;2607;;;LEDOIAN;;;;comtrade;no
Magnesite;45;kg;251910;;;MAINGOT ;;;;comtrade;no
Manganese;47;kg;8111;;;MANGAFE;;;;comtrade;no
Metamorphous rock, graphite containing;118;kg;2504;;;;;;;comtrade;yes
Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore;188;kg;2613;;;;;;;comtrade;no
