{SimaPro 9.3.0.3};;;;;;
{methods};;;;;;
{Date: 2/22/2023};;;;;;
{Time: 12:10:37 PM};;;;;;
{Project: 2022_mobilita};;;;;;
{CSV Format version: 9.0.0};;;;;;
{CSV separator: Semicolon};;;;;;
{Decimal separator: .};;;;;;
{Date separator: /};;;;;;
{Short date format: M/d/yyyy};;;;;;
{Export platform IDs: Yes};;;;;;
{Selection: Selection (1)};;;;;;
{Related objects (system descriptions, substances, units, etc.): Yes};;;;;;
{Include sub product stages and processes: No};;;;;;
{Open project: '2022_mobilita'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - system'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - unit'};;;;;;
{Library 'Methods'};;;;;;
;;;;;;
Method;;;;;;
;;;;;;
Name;;;;;;
RSE CLCC e critical CLCC;;;;;;
;;;;;;
Version;;;;;;
1;0;;;;;
;;;;;;
Comment;;;;;;
Indicatore commodity life cycle cost.Unità di misura €;;;;;;
;;;;;;
Category;;;;;;
European;;;;;;
;;;;;;
Use Damage Assessment;;;;;;
Yes;;;;;;
;;;;;;
Use Normalization;;;;;;
Yes;;;;;;
;;;;;;
Use Weighting;;;;;;
Yes;;;;;;
;;;;;;
Use Addition;;;;;;
Yes;;;;;;
;;;;;;
Weighting unit;;;;;;
Pt;;;;;;
;;;;;;
Impact category;;;;;;
Resource use, fossils;MJ;;;;;
;;;;;;
Substances;;;;;;
Raw;(unspecified);Coal, 18 MJ per kg;;18;kg;8A23E8AE-9D54-4BCB-BEA8-0D65620D6F9D
Raw;(unspecified);Coal, 26.4 MJ per kg;;26.4;kg;C0F2A644-3C69-4F02-B13A-029561B69A3E
Raw;(unspecified);Coal, 29.3 MJ per kg;;29.3;kg;AE4A9855-8598-4363-B541-A56625F7BB63
Raw;(unspecified);Coal, bituminous, 24.8 MJ per kg;;24.8;kg;4E230376-C4F5-4487-BD03-85C7909FF598
Raw;(unspecified);Coal, brown;;8.75;kg;8C93A378-A18E-4436-8855-A8759B88E676
Raw;(unspecified);Coal, brown, 10 MJ per kg;;10;kg;451475C9-8BD3-4C7B-81F8-C6BA2CAD0B68
Raw;(unspecified);Coal, brown, 8 MJ per kg;;8;kg;051C0752-2B47-45D6-9A1C-F3983D3C9831
