;;;
End;;;
;;;
Quantities;;;
Mass;Yes;;
Indicator;Yes;;
Energy;Yes;;
Volume;Yes;;
;;;
End;;;
;;;
;;;
Units;;;
kg;Mass;1;kg
Pt;Indicator;1;Pt
g;Mass;0.001;kg
kWh;Energy;3.6;MJ
l;Volume;0.001;m3
m3;Volume;1;m3
MJ;Energy;1;MJ
ton;Mass;1000;kg
?g;Mass;0.000000001;kg
mg;Mass;0.000001;kg
cm3;Volume;0.000001;m3
mm3;Volume;0.000000001;m3
GJ;Energy;1000;MJ
J;Energy;0.000001;MJ
kJ;Energy;0.001;MJ
Mtn;Mass;1000000000;kg
PJ;Energy;1000000000;MJ
TJ;Energy;1000000;MJ
?Pt;Indicator;0.000001;Pt
nPt;Indicator;0.000000001;Pt
kPt;Indicator;1000;Pt
MPt;Indicator;1000000;Pt
GPt;Indicator;1000000000;Pt
kton;Mass;1000000;kg
ng;Mass;1.00E-12;kg
mPt;Indicator;0.001;Pt
pg;Mass;1.00E-15;kg
MWh;Energy;3600;MJ
lb;Mass;0.4535924;kg
gal*;Volume;0.003785412;m3
cuft;Volume;0.02831685;m3
Btu;Energy;0.001055696;MJ
oz;Mass;0.02834952;kg
cu.yd;Volume;0.7645549;m3
tn.sh;Mass;907.1848;kg
tn.lg;Mass;1016.047;kg
dm3;Volume;0.001;m3
kcal;Energy;0.0041855;MJ
Wh;Energy;0.0036;MJ
;;;
End;;;
;;;
;;;
Raw materials;;;
