Source,Commodity,Year,Bauxite_Mine_kt,Bauxite_Imports_kt,Bauxite_Exports_kt,Bauxite_Stocks_kt,Bauxite_Consump_Apprnt_kt,Bauxite_Consump_Rprtd_kt,Bauxite_Price_dt,Bauxite_NIR_pct,Alumina_Refinery_kt,Alumina_Imports_kt,Alumina_Exports_kt,Alumina_Stocks_kt,Alumina_Apparent_kt,Alumina_Price_kt,Alumina_NIR_pct
MCS2025,Bauxite and Alumina,2020,W,3760,16,250,W,3330,30,>75,1300,1340,153,234,2530,394,49
MCS2025,Bauxite and Alumina,2021,W,3880,13,200,W,2790,31,>75,1000,1550,180,202,2410,462,58
MCS2025,Bauxite and Alumina,2022,W,3630,10,200,W,2170,32,>75,920,1880,174,194,2640,518,65
MCS2025,Bauxite and Alumina,2023,W,3160,14,240,W,2050,31,>75,850,1360,139,190,2080,481,59
MCS2025,Bauxite and Alumina,2024,W,2800,13,250,W,1800,30,>75,810,1300,150,180,2000,570,59
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,                           ,,,,,,,,,,,,,,
