Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,
MCS2024,United States (kyanite),Kyanite and Related Minerals,85900,85000,Source in 2022: Virginia Department of Energy.,NA,"Categorized as ""Large""",,,,,,,,,,,
MCS2024,"China (andalusite, crude ore)",Kyanite and Related Minerals,100000,100000,,5000000,,,,,,,,,,,,
MCS2024,France (andalusite),Kyanite and Related Minerals,65000,65000,,NA,,,,,,,,,,,,
MCS2024,India (kyanite and sillimanite),Kyanite and Related Minerals,12000,10000,,7200000,,,,,,,,,,,,
MCS2024,Peru (andalusite),Kyanite and Related Minerals,43000,40000,,NA,,,,,,,,,,,,
MCS2024,South Africa (andalusite),Kyanite and Related Minerals,170000,170000,,           NA,,,,,,,,,,,,
MCS2024,World total (rounded),Kyanite and Related Minerals,NA,NA,,NA,"In addition to the countries and (or) localities listed, Brazil and Iran may have produced kyanite and related minerals and China may have produced kyanite in addition to andalusite, but information was not available to make reliable estimates of output.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
